YEAR,MONTH,Datetime,Rainfall
1914,Oct,01-10-1914,4.902
1914,Nov,01-11-1914,22.164
1914,Dec,01-12-1914,0.085
1915,Jan,01-01-1915,7.799
1915,Feb,01-02-1915,12.018
1915,Mar,01-03-1915,26.756
1915,Apr,01-04-1915,4.801
1915,May,01-05-1915,2.207
1915,Jun,01-06-1915,30.999
1915,Jul,01-07-1915,90.14
1915,Aug,01-08-1915,60.16
1915,Sep,01-09-1915,29.891
1915,Oct,01-10-1915,34.906
1915,Nov,01-11-1915,0.003
1915,Dec,01-12-1915,0.084
1916,Jan,01-01-1916,0
1916,Feb,01-02-1916,5.242
1916,Mar,01-03-1916,0.213
1916,Apr,01-04-1916,0.854
1916,May,01-05-1916,22.794
1916,Jun,01-06-1916,46.147
1916,Jul,01-07-1916,154.82
1916,Aug,01-08-1916,317.491
1916,Sep,01-09-1916,125.163
1916,Oct,01-10-1916,8.869
1916,Nov,01-11-1916,0.313
1916,Dec,01-12-1916,0
1917,Jan,01-01-1917,1.883
1917,Feb,01-02-1917,15.62
1917,Mar,01-03-1917,1.169
1917,Apr,01-04-1917,20.851
1917,May,01-05-1917,65.279
1917,Jun,01-06-1917,176.889
1917,Jul,01-07-1917,331.399
1917,Aug,01-08-1917,365.781
1917,Sep,01-09-1917,215.402
1917,Oct,01-10-1917,28.761
1917,Nov,01-11-1917,0
1917,Dec,01-12-1917,21.443
1918,Jan,01-01-1918,3.426
1918,Feb,01-02-1918,0
1918,Mar,01-03-1918,3.528
1918,Apr,01-04-1918,0.538
1918,May,01-05-1918,3.651
1918,Jun,01-06-1918,16.103
1918,Jul,01-07-1918,29.02
1918,Aug,01-08-1918,85.154
1918,Sep,01-09-1918,14.871
1918,Oct,01-10-1918,0
1918,Nov,01-11-1918,0.439
1918,Dec,01-12-1918,0.006
1919,Jan,01-01-1919,15.819
1919,Feb,01-02-1919,0.127
1919,Mar,01-03-1919,0.662
1919,Apr,01-04-1919,30.544
1919,May,01-05-1919,7.961
1919,Jun,01-06-1919,10.819
1919,Jul,01-07-1919,233.003
1919,Aug,01-08-1919,188.213
1919,Sep,01-09-1919,41.001
1919,Oct,01-10-1919,0.83
1919,Nov,01-11-1919,11.086
1919,Dec,01-12-1919,3.16
1920,Jan,01-01-1920,5.138
1920,Feb,01-02-1920,8.469
1920,Mar,01-03-1920,3.714
1920,Apr,01-04-1920,0.046
1920,May,01-05-1920,33.556
1920,Jun,01-06-1920,147.032
1920,Jul,01-07-1920,210.588
1920,Aug,01-08-1920,41.715
1920,Sep,01-09-1920,19.589
1920,Oct,01-10-1920,0.016
1920,Nov,01-11-1920,0
1920,Dec,01-12-1920,0
1921,Jan,01-01-1921,6.429
1921,Feb,01-02-1921,0
1921,Mar,01-03-1921,0
1921,Apr,01-04-1921,0.56
1921,May,01-05-1921,0.175
1921,Jun,01-06-1921,18.956
1921,Jul,01-07-1921,114.689
1921,Aug,01-08-1921,98.957
1921,Sep,01-09-1921,122.939
1921,Oct,01-10-1921,1.046
1921,Nov,01-11-1921,0
1921,Dec,01-12-1921,0.002
1922,Jan,01-01-1922,3.377
1922,Feb,01-02-1922,0.874
1922,Mar,01-03-1922,0.014
1922,Apr,01-04-1922,0.707
1922,May,01-05-1922,1.405
1922,Jun,01-06-1922,45.57
1922,Jul,01-07-1922,196.39
1922,Aug,01-08-1922,86.316
1922,Sep,01-09-1922,143.908
1922,Oct,01-10-1922,0.57
1922,Nov,01-11-1922,0.59
1922,Dec,01-12-1922,13.436
1923,Jan,01-01-1923,2.601
1923,Feb,01-02-1923,14.982
1923,Mar,01-03-1923,1.395
1923,Apr,01-04-1923,0.119
1923,May,01-05-1923,6.095
1923,Jun,01-06-1923,2.491
1923,Jul,01-07-1923,310.829
1923,Aug,01-08-1923,202.047
1923,Sep,01-09-1923,60.558
1923,Oct,01-10-1923,2.403
